iter	Passed	Remaining
0	17	6898
1	36	7265
2	54	7207
3	73	7236
4	91	7244
5	110	7228
6	128	7229
7	147	7219
8	165	7200
9	185	7242
10	205	7281
11	226	7315
12	246	7331
13	266	7337
14	285	7339
15	306	7347
16	325	7341
17	344	7313
18	364	7304
19	383	7284
20	403	7273
21	423	7273
22	443	7265
23	462	7252
24	482	7232
25	502	7221
26	521	7202
27	540	7179
28	559	7159
29	578	7135
30	598	7125
31	617	7099
32	637	7085
33	660	7108
34	683	7128
35	706	7144
36	729	7158
37	754	7187
38	776	7189
39	798	7186
40	816	7149
41	838	7144
42	860	7143
43	875	7084
44	899	7093
45	919	7075
46	941	7068
47	957	7023
48	975	6987
49	999	6999
50	1018	6968
51	1038	6950
52	1060	6944
53	1086	6958
54	1108	6953
55	1127	6923
56	1152	6933
57	1174	6928
58	1199	6934
59	1223	6930
60	1249	6943
61	1275	6955
62	1300	6955
63	1316	6913
64	1341	6914
65	1361	6892
66	1383	6877
67	1403	6854
68	1427	6848
69	1448	6827
70	1475	6835
71	1498	6824
72	1515	6788
73	1538	6778
74	1562	6771
75	1588	6770
76	1605	6736
77	1628	6720
78	1650	6706
79	1666	6664
80	1682	6624
81	1702	6601
82	1722	6576
83	1744	6564
84	1762	6533
85	1780	6501
86	1802	6483
87	1832	6498
88	1856	6487
89	1875	6459
90	1895	6437
91	1921	6433
92	1942	6411
93	1966	6401
94	1981	6360
95	2004	6348
96	2025	6326
97	2046	6307
98	2067	6286
99	2086	6258
100	2110	6247
101	2133	6233
102	2155	6214
103	2175	6192
104	2190	6154
105	2209	6127
106	2231	6109
107	2255	6098
108	2271	6065
109	2288	6032
110	2307	6007
111	2327	5983
112	2352	5974
113	2372	5951
114	2391	5927
115	2407	5895
116	2426	5869
117	2449	5855
118	2471	5835
119	2490	5810
120	2511	5791
121	2534	5775
122	2553	5751
123	2574	5730
124	2588	5695
125	2611	5678
126	2635	5664
127	2653	5638
128	2676	5622
129	2700	5607
130	2719	5584
131	2735	5552
132	2755	5531
133	2773	5505
134	2795	5486
135	2810	5455
136	2834	5440
137	2852	5415
138	2868	5385
139	2889	5366
140	2913	5352
141	2939	5340
142	2963	5326
143	2981	5300
144	3001	5278
145	3027	5267
146	3048	5246
147	3070	5228
148	3090	5206
149	3110	5183
150	3133	5166
151	3150	5140
152	3174	5124
153	3191	5097
154	3215	5081
155	3240	5067
156	3262	5050
157	3277	5020
158	3293	4992
159	3318	4977
160	3333	4948
161	3349	4921
162	3371	4902
163	3392	4881
164	3420	4871
165	3447	4859
166	3464	4833
167	3487	4816
168	3509	4796
169	3534	4781
170	3556	4763
171	3582	4748
172	3605	4731
173	3624	4708
174	3649	4692
175	3664	4663
176	3687	4646
177	3711	4628
178	3736	4613
179	3762	4598
180	3784	4578
181	3803	4555
182	3828	4539
183	3852	4523
184	3869	4496
185	3893	4479
186	3915	4460
187	3935	4437
188	3959	4420
189	3982	4401
190	4005	4383
191	4021	4356
192	4044	4338
193	4068	4320
194	4090	4299
195	4108	4276
196	4128	4254
197	4148	4232
198	4173	4215
199	4193	4193
200	4214	4172
201	4238	4154
202	4261	4135
203	4280	4112
204	4297	4087
205	4313	4062
206	4331	4038
207	4355	4020
208	4379	4001
209	4398	3979
210	4422	3961
211	4440	3937
212	4464	3919
213	4487	3900
214	4502	3874
215	4519	3850
216	4543	3831
217	4565	3811
218	4588	3792
219	4609	3771
220	4628	3748
221	4653	3730
222	4674	3710
223	4699	3692
224	4715	3667
225	4731	3642
226	4747	3618
227	4773	3600
228	4791	3577
229	4810	3555
230	4828	3532
231	4844	3508
232	4859	3483
233	4892	3470
234	4921	3455
235	4942	3434
236	4959	3411
237	4986	3394
238	5004	3371
239	5021	3347
240	5041	3326
241	5057	3301
242	5078	3280
243	5100	3260
244	5124	3241
245	5144	3220
246	5162	3198
247	5177	3173
248	5196	3151
249	5219	3131
250	5242	3112
251	5266	3092
252	5290	3074
253	5306	3050
254	5328	3029
255	5352	3010
256	5367	2986
257	5382	2962
258	5406	2943
259	5423	2920
260	5438	2896
261	5461	2876
262	5484	2856
263	5499	2833
264	5514	2809
265	5529	2785
266	5544	2761
267	5570	2743
268	5593	2723
269	5608	2700
270	5627	2678
271	5643	2655
272	5665	2635
273	5688	2615
274	5709	2595
275	5735	2576
276	5759	2557
277	5774	2534
278	5797	2514
279	5822	2495
280	5839	2473
281	5855	2450
282	5877	2429
283	5901	2410
284	5919	2388
285	5936	2366
286	5960	2346
287	5984	2327
288	6006	2307
289	6027	2286
290	6053	2267
291	6071	2245
292	6093	2225
293	6118	2205
294	6140	2185
295	6166	2166
296	6185	2145
297	6207	2124
298	6232	2105
299	6258	2086
300	6273	2063
301	6290	2041
302	6312	2020
303	6331	1999
304	6348	1977
305	6363	1954
306	6388	1935
307	6415	1916
308	6440	1896
309	6467	1877
310	6493	1858
311	6512	1836
312	6534	1816
313	6558	1796
314	6582	1776
315	6609	1756
316	6629	1735
317	6644	1713
318	6669	1693
319	6687	1671
320	6702	1649
321	6722	1628
322	6743	1607
323	6769	1587
324	6786	1566
325	6806	1545
326	6831	1525
327	6854	1504
