id,accident_risk
517754,0.28
517755,0.292
517756,0.156
517757,0.248
517758,0.276
517759,0.352
517760,0.33
517761,0.21
517762,0.28
517763,0.264
517764,0.168
517765,0.214
517766,0.256
517767,0.218
517768,0.172
517769,0.278
517770,0.206
517771,0.338
517772,0.122
517773,0.266
517774,0.364
517775,0.556
517776,0.234
517777,0.244
517778,0.404
517779,0.262
517780,0.342
517781,0.332
517782,0.2
517783,0.32
517784,0.172
517785,0.282
517786,0.422
517787,0.372
517788,0.312
517789,0.17
517790,0.282
517791,0.334
517792,0.648
517793,0.156
517794,0.202
517795,0.37
517796,0.262
517797,0.244
517798,0.478
517799,0.278
517800,0.472
517801,0.324
517802,0.394
517803,0.292
517804,0.304
517805,0.712
517806,0.282
517807,0.372
517808,0.354
517809,0.268
517810,0.472
517811,0.348
517812,0.386
517813,0.562
517814,0.536
517815,0.138
517816,0.512
517817,0.21
517818,0.422
517819,0.636
517820,0.318
517821,0.236
517822,0.092
517823,0.218
517824,0.138
517825,0.246
517826,0.288
517827,0.422
517828,0.612
517829,0.472
517830,0.686
517831,0.256
517832,0.29
517833,0.378
517834,0.366
517835,0.268
517836,0.3
517837,0.34
517838,0.354
517839,0.73
517840,0.348
517841,0.126
517842,0.536
517843,0.584
517844,0.192
517845,0.198
517846,0.41
517847,0.134
517848,0.482
517849,0.418
517850,0.18
517851,0.26
517852,0.192
517853,0.478
517854,0.224
517855,0.456
517856,0.276
517857,0.166
517858,0.224
517859,0.4
517860,0.528
517861,0.77
517862,0.452
517863,0.41
517864,0.438
517865,0.314
517866,0.454
517867,0.444
517868,0.23
517869,0.322
517870,0.286
517871,0.326
517872,0.284
517873,0.118
517874,0.33
517875,0.22
517876,0.106
517877,0.266
517878,0.288
517879,0.384
517880,0.42
517881,0.37
517882,0.504
517883,0.108
517884,0.548
517885,0.214
517886,0.444
517887,0.496
517888,0.402
517889,0.342
517890,0.408
517891,0.62
517892,0.632
517893,0.248
517894,0.32
517895,0.606
517896,0.516
517897,0.392
517898,0.176
517899,0.506
517900,0.248
517901,0.318
517902,0.166
517903,0.368
517904,0.106
517905,0.33
517906,0.406
517907,0.57
517908,0.286
517909,0.108
517910,0.214
517911,0.434
517912,0.406
517913,0.322
517914,0.7
517915,0.214
517916,0.456
517917,0.37
517918,0.288
517919,0.544
517920,0.286
517921,0.356
517922,0.438
517923,0.664
517924,0.216
517925,0.326
517926,0.22
517927,0.662
517928,0.334
517929,0.512
517930,0.202
517931,0.316
517932,0.342
517933,0.398
517934,0.686
517935,0.17
517936,0.708
517937,0.314
517938,0.49
517939,0.4
517940,0.534
517941,0.388
517942,0.334
517943,0.296
517944,0.054
517945,0.346
517946,0.246
517947,0.36
517948,0.52
517949,0.28
517950,0.19
517951,0.462
517952,0.312
517953,0.34
517954,0.352
517955,0.418
517956,0.296
517957,0.36
517958,0.62
517959,0.176
517960,0.186
517961,0.602
517962,0.308
517963,0.146
517964,0.49
517965,0.484
517966,0.072
517967,0.248
517968,0.728
517969,0.598
517970,0.3
517971,0.328
