id,accident_risk
517754,0.32
517755,0.116
517756,0.21
517757,0.354
517758,0.374
517759,0.446
517760,0.286
517761,0.18
517762,0.404
517763,0.298
517764,0.104
517765,0.214
517766,0.274
517767,0.282
517768,0.192
517769,0.272
517770,0.298
517771,0.348
517772,0.144
517773,0.236
517774,0.372
517775,0.62
517776,0.15
517777,0.21
517778,0.424
517779,0.274
517780,0.354
517781,0.346
517782,0.308
517783,0.324
517784,0.244
517785,0.22
517786,0.426
517787,0.356
517788,0.358
517789,0.18
517790,0.292
517791,0.352
517792,0.678
517793,0.16
517794,0.146
517795,0.26
517796,0.11
517797,0.074
517798,0.488
517799,0.162
517800,0.306
517801,0.338
517802,0.314
517803,0.36
517804,0.262
517805,0.734
517806,0.292
517807,0.534
517808,0.442
517809,0.328
517810,0.508
517811,0.392
517812,0.374
517813,0.578
517814,0.528
517815,0.062
517816,0.562
517817,0.166
517818,0.542
517819,0.596
517820,0.304
517821,0.168
517822,0.054
517823,0.218
517824,0.156
517825,0.288
517826,0.308
517827,0.55
517828,0.624
517829,0.432
517830,0.662
517831,0.206
517832,0.2
517833,0.318
517834,0.408
517835,0.322
517836,0.34
517837,0.298
517838,0.4
517839,0.726
517840,0.386
517841,0.106
517842,0.398
517843,0.456
517844,0.144
517845,0.212
517846,0.468
517847,0.132
517848,0.516
517849,0.37
517850,0.154
517851,0.138
517852,0.108
517853,0.542
517854,0.32
517855,0.46
517856,0.324
517857,0.126
517858,0.276
517859,0.446
517860,0.458
517861,0.774
517862,0.53
517863,0.362
517864,0.348
517865,0.314
517866,0.476
517867,0.504
517868,0.148
517869,0.332
517870,0.4
517871,0.464
517872,0.376
517873,0.174
517874,0.392
517875,0.204
517876,0.218
517877,0.264
517878,0.28
517879,0.344
517880,0.364
517881,0.292
517882,0.422
517883,0.11
517884,0.558
517885,0.082
517886,0.512
517887,0.548
517888,0.366
517889,0.324
517890,0.27
517891,0.642
517892,0.63
517893,0.18
517894,0.272
517895,0.596
517896,0.562
517897,0.238
517898,0.168
517899,0.324
517900,0.266
517901,0.38
517902,0.15
517903,0.288
517904,0.066
517905,0.41
517906,0.444
517907,0.562
517908,0.266
517909,0.042
517910,0.17
517911,0.502
517912,0.372
517913,0.406
517914,0.694
517915,0.172
517916,0.454
517917,0.314
517918,0.314
517919,0.55
517920,0.172
517921,0.33
517922,0.406
517923,0.766
517924,0.368
517925,0.346
517926,0.166
517927,0.628
517928,0.228
517929,0.43
517930,0.252
517931,0.398
