id,accident_risk
517754,0.365
517755,0.157
517756,0.209
517757,0.436
517758,0.329
517759,0.414
517760,0.236
517761,0.152
517762,0.479
517763,0.348
517764,0.042
517765,0.266
517766,0.286
517767,0.28
517768,0.15
517769,0.368
517770,0.255
517771,0.289
517772,0.164
517773,0.278
517774,0.333
517775,0.553
517776,0.099
517777,0.228
517778,0.414
517779,0.291
517780,0.368
517781,0.424
517782,0.282
517783,0.265
517784,0.383
517785,0.283
517786,0.452
517787,0.391
517788,0.296
517789,0.129
517790,0.251
517791,0.324
517792,0.666
517793,0.18
517794,0.109
517795,0.345
517796,0.1
517797,0.038
517798,0.459
517799,0.211
517800,0.284
517801,0.349
517802,0.272
517803,0.388
517804,0.314
517805,0.712
517806,0.282
517807,0.561
517808,0.391
517809,0.279
517810,0.537
517811,0.452
517812,0.44
517813,0.615
517814,0.502
517815,0.006
517816,0.514
517817,0.125
517818,0.612
517819,0.519
517820,0.307
517821,0.158
517822,0.111
517823,0.178
517824,0.056
517825,0.294
517826,0.331
517827,0.583
517828,0.508
517829,0.394
517830,0.597
517831,0.146
517832,0.196
517833,0.304
517834,0.496
517835,0.327
517836,0.327
517837,0.314
517838,0.401
517839,0.656
517840,0.41
517841,0.176
517842,0.404
517843,0.447
517844,0.128
517845,0.156
517846,0.492
517847,0.053
517848,0.456
517849,0.339
517850,0.105
517851,0.221
517852,0.112
517853,0.473
517854,0.377
517855,0.545
517856,0.36
517857,0.174
517858,0.328
517859,0.44
517860,0.454
517861,0.71
517862,0.504
517863,0.403
517864,0.336
517865,0.39
517866,0.424
517867,0.494
517868,0.148
517869,0.372
517870,0.387
517871,0.421
517872,0.339
517873,0.145
517874,0.343
517875,0.245
517876,0.289
517877,0.302
517878,0.22
517879,0.365
517880,0.477
517881,0.315
517882,0.347
517883,0.115
517884,0.554
517885,0.094
517886,0.545
517887,0.52
517888,0.358
517889,0.399
517890,0.237
517891,0.598
517892,0.576
517893,0.191
517894,0.34
517895,0.613
517896,0.551
517897,0.251
517898,0.087
517899,0.342
517900,0.27
517901,0.292
517902,0.2
517903,0.29
517904,-0.05
517905,0.354
517906,0.471
517907,0.511
517908,0.26
517909,0.01
517910,0.198
517911,0.464
517912,0.379
517913,0.442
517914,0.743
517915,0.181
517916,0.42
517917,0.425
517918,0.472
517919,0.516
517920,0.142
517921,0.256
517922,0.406
517923,0.667
517924,0.288
517925,0.258
517926,0.143
517927,0.605
517928,0.242
517929,0.463
517930,0.247
517931,0.41
517932,0.291
517933,0.352
517934,0.674
517935,0.222
517936,0.648
517937,0.265
517938,0.469
517939,0.477
517940,0.388
517941,0.548
517942,0.306
517943,0.296
517944,0.047
517945,0.239
517946,0.049
517947,0.469
517948,0.545
517949,0.362
517950,0.158
517951,0.421
517952,0.444
517953,0.409
517954,0.365
517955,0.425
517956,0.165
517957,0.337
517958,0.607
517959,0.236
517960,0.185
517961,0.604
517962,0.307
517963,0.178
517964,0.51
517965,0.37
517966,0.015
517967,0.204
517968,0.623
517969,0.579
517970,0.267
517971,0.312
517972,0.381
517973,0.376
517974,0.453
517975,0.444
517976,0.312
517977,0.329
517978,0.226
517979,0.45
517980,0.283
517981,0.103
517982,0.445
517983,0.34
517984,0.151
517985,0.207
517986,0.254
517987,0.275
517988,0.256
517989,0.629
517990,0.254
517991,0.193
517992,0.396
517993,0.607
517994,0.03
517995,0.608
517996,0.431
517997,0.498
517998,0.259
517999,0.295
518000,0.484
518001,0.332
518002,0.395
518003,0.604
518004,0.484
518005,0.304
518006,0.339
518007,0.399
518008,0.211
518009,0.496
518010,0.601
518011,0.433
518012,0.189
518013,0.375
518014,0.382
518015,0.127
518016,0.248
518017,0.328
518018,0.433
518019,0.33
518020,0.655
518021,0.17
518022,0.417
518023,0.457
518024,0.148
518025,0.054
518026,0.124
518027,0.466
518028,0.349
518029,0.328
518030,0.641
518031,0.669
518032,0.217
518033,0.294
518034,0.361
518035,0.32
518036,0.573
518037,0.071
518038,0.243
518039,0.27
518040,0.504
518041,0.398
518042,0.247
518043,0.262
518044,0.385
518045,0.338
518046,0.173
518047,0.322
518048,0.356
518049,0.205
518050,0.418
518051,0.24
518052,0.315
518053,0.303
518054,0.209
518055,0.277
518056,0.436
518057,0.081
518058,0.327
518059,0.328
518060,0.377
518061,0.326
518062,0.512
518063,0.431
518064,0.166
518065,0.293
518066,0.28
518067,0.325
518068,0.718
518069,0.105
518070,0.444
518071,0.165
518072,0.572
518073,0.361
518074,0.486
518075,0.495
518076,0.115
518077,0.2
518078,0.244
518079,0.501
518080,0.415
518081,0.601
518082,0.282
518083,0.28
518084,0.368
518085,0.238
518086,0.309
518087,0.313
518088,0.363
518089,0.406
518090,0.431
518091,0.27
518092,0.288
518093,0.17
518094,0.385
518095,0.174
518096,0.282
518097,0.227
518098,0.558
518099,0.458
518100,0.267
518101,0.261
518102,0.264
518103,0.341
518104,0.371
518105,0.346
518106,0.48
518107,0.563
518108,0.581
518109,0.406
518110,0.189
518111,0.201
518112,0.41
518113,0.217
518114,0.5
518115,0.312
518116,0.521
518117,0.489
518118,0.399
518119,0.362
518120,0.137
518121,0.415
518122,0.351
518123,0.446
518124,0.519
518125,0.245
518126,0.263
518127,0.162
518128,0.213
518129,0.256
518130,0.322
518131,0.346
518132,0.184
518133,0.335
518134,0.496
518135,0.198
518136,0.456
518137,0.227
