id,accident_risk
517754,1028702559.396
517755,1061073274.668
517756,1061251640.978
517757,1058036026.304
517758,1056284002.937
517759,1030846729.864
517760,1061890023.821
517761,1055224204.445
517762,1064484880.371
517763,1055203673.127
517764,1061860751.369
517765,1061052742.527
517766,1056275268.216
517767,1058015494.07
517768,1055194935.596
517769,1057377114.799
517770,1064034192.303
517771,1064042932.547
517772,1056275266.987
517773,1058477975.979
517774,1056275268.22
517775,1057368380.18
517776,1062124334.037
517777,1055684218.264
517778,1061711656.8
517779,1062153603.727
517780,1057368380.109
517781,1064034193.15
517782,1062302701.165
517783,1055842055.139
517784,1056284003.733
517785,1055862588.136
517786,1029766400.85
517787,1028503660.136
517788,1058477975.193
517789,1055203672.277
517790,1062124334.059
517791,1055654949.433
517792,1027414594.925
517793,1057368377.281
517794,1064042929.739
517795,1056304537.881
517796,1058006756.562
517797,1056275265.371
517798,1064476144.876
517799,1057377114.766
517800,1028061708.815
517801,1058015493.297
517802,1058457445.765
517803,1064476142.088
517804,1061044005.072
517805,1030846732.704
517806,1062311441.391
517807,1027423329.596
517808,1030434048.988
517809,1055025305.24
517810,1029775137.57
517811,1030876000.304
517812,1061691122.649
517813,1028260611.713
517814,1063404551.738
517815,1062311438.537
517816,1055684220.311
517817,1056096898.316
517818,1055663688.966
517819,1027592961.953
517820,1061860754.21
517821,1062153603.681
517822,1055224206.025
517823,1055663685.288
517824,1061073273.058
517825,1061052740.942
517826,1062153603.747
517827,1030404781.764
517828,1027423331.55
517829,1058448709.121
517830,1027443863.754
517831,1058015493.231
517832,1061691121.781
517833,1058006760.168
517834,1029775138.341
517835,1055663686.111
517836,1057368376.538
517837,1029775137.501
517838,1061073276.721
517839,1027443864.581
517840,1055224208.074
517841,1061869489.645
517842,1028231342.789
517843,1028260610.878
517844,1061251640.946
517845,1063425081.077
517846,1029795670.521
517847,1055833315.636
517848,1030404780.147
517849,1055016571.338
517850,1056105634.987
517851,1057377113.987
517852,1061682385.093
517853,1055862587.405
517854,1028240077.491
517855,1029775138.355
517856,1057397645.396
517857,1064484880.277
517858,1058006758.206
517859,1063425084.705
517860,1064505411.764
517861,1027592962.827
517862,1061073274.792
517863,1027592959.953
517864,1030404781.688
517865,1058448707.953
517866,1056304537.914
517867,1055684221.106
517868,1058036025.424
517869,1030846731.436
517870,1055025306.042
517871,1027601695.834
517872,1058015493.304
517873,1062331970.755
517874,1061711655.98
517875,1058036027.032
517876,1064476143.632
517877,1064042929.802
517878,1056096898.342
517879,1055833319.282
517880,1027423330.363
517881,1056284005.694
517882,1027592961.916
517883,1062331970.757
517884,1029775136.783
517885,1061869489.624
517886,1028061710.449
517887,1061682387.171
517888,1055194939.213
517889,1061052742.563
517890,1062311440.587
517891,1062153606.599
517892,1027592961.978
517893,1055016570.101
517894,1064505413.699
517895,1027592962.781
517896,1064476144.9
517897,1055025307.992
517898,1057377113.16
517899,1063404551.715
517900,1055833318.473
517901,1061890023.054
517902,1061044005.821
517903,1064034195.872
517904,1061869488.001
517905,1055045837.441
517906,1028702558.634
517907,1028673289.808
517908,1058036025.454
517909,1056304534.231
517910,1055016568.531
517911,1058015496.106
517912,1064505414.483
517913,1056126168.842
517914,1027423332.425
517915,1058457443.782
517916,1028673288.993
517917,1028260609.694
517918,1057368378.17
517919,1058006760.255
517920,1061052741.691
517921,1064034195.081
517922,1061682387.16
517923,1028702561.477
517924,1063425081.103
517925,1056105635.02
517926,1061869488.846
517927,1030434051.815
517928,1061251643.765
517929,1028231342.815
517930,1061682384.348
517931,1062124334.913
517932,1029766400.026
517933,1061052743.747
517934,1027443864.585
517935,1062133072.31
517936,1029795671.759
517937,1063395815.007
517938,1055025306.884
517939,1064476145.671
517940,1063404551.717
517941,1029766401.689
517942,1028494921.873
517943,1058006760.165
517944,1055842053.123
517945,1064476144.796
517946,1062331969.947
517947,1055016572.165
517948,1028240078.724
517949,1064034193.914
517950,1064034193.858
517951,1030876000.315
517952,1063395813.88
517953,1027622228.812
517954,1028061710.41
517955,1030413516.815
517956,1028231339.163
517957,1063395815.819
517958,1029766400.923
517959,1062124334.856
517960,1061044005.827
517961,1030404782.945
517962,1062311440.616
517963,1061222372.121
517964,1028240079.504
517965,1056126170.811
517966,1055862584.493
517967,1064476142.828
517968,1030876001.568
517969,1030413517.667
517970,1063404548.915
517971,1061231111.603
517972,1061711656.801
517973,1064063462.774
517974,1055862588.163
517975,1056105637.86
517976,1057397648.952
517977,1064063462.82
517978,1056126167.201
517979,1056096899.977
517980,1061682385.139
517981,1056304535.817
517982,1058006758.229
517983,1064484880.323
517984,1061869488.867
517985,1062331970.001
517986,1055654950.206
517987,1055224205.28
517988,1062133072.327
517989,1028524193.578
517990,1061860754.978
517991,1061691120.99
517992,1029795670.495
517993,1028240078.741
517994,1056304535.017
517995,1029766401.704
517996,1028231342.806
517997,1056105636.697
517998,1058036026.234
517999,1028503659.319
518000,1028061709.641
518001,1064042929.01
518002,1061860755.025
518003,1030404781.76
518004,1055025308.856
518005,1055862588.132
518006,1063404549.717
518007,1057397648.186
518008,1063425082.654
518009,1055045841.039
518010,1028052974.973
518011,1030855466.547
518012,1056304534.269
518013,1028673288.959
518014,1056275269.033
518015,1055224206.04
518016,1057397646.947
518017,1027443860.921
518018,1058015496.099
518019,1028061708.817
518020,1027592962.791
518021,1061682385.119
518022,1061251643.814
518023,1030855468.135
518024,1061044005.035
518025,1062331969.94
518026,1063395812.191
518027,1028082241.026
518028,1030413517.586
518029,1063425082.696
518030,1030434051.824
518031,1028082243.861
518032,1028702558.557
518033,1028082240.979
518034,1061044005.875
518035,1028673289.735
518036,1027423330.39
518037,1061711653.138
518038,1055842053.966
518039,1062153602.941
518040,1028673290.587
518041,1061222374.94
518042,1061860754.976
518043,1062133073.507
518044,1058036028.256
518045,1057377113.219
518046,1061860752.196
518047,1055833318.488
518048,1027443861.711
518049,1061251643.735
518050,1056126170.804
518051,1061231109.606
518052,1062124334.086
518053,1056126170.002
518054,1028702557.772
518055,1057368379.304
518056,1030413517.61
518057,1057377113.159
518058,1056126168.03
518059,1062153604.52
518060,1029775138.299
518061,1061052743.739
518062,1030404780.193
518063,1064484882.327
518064,1055194936.392
518065,1058477975.191
518066,1064063462.767
518067,1055224208.062
518068,1028061712.493
518069,1056096898.31
518070,1028231342.008
518071,1055194935.61
518072,1030434049.837
518073,1030434050.561
518074,1028494923.504
518075,1058457445.824
518076,1055025305.176
518077,1055833315.686
518078,1028260608.844
518079,1061073276.738
518080,1027414592.889
518081,1028231342.061
518082,1061890023.842
518083,1058015496.058
518084,1055654948.653
518085,1055016570.135
518086,1064042929.805
518087,1064063461.977
518088,1056105638.608
518089,1064042930.633
518090,1030846729.859
518091,1058457443.004
518092,1062331970.013
518093,1055663686.077
518094,1028231339.253
518095,1058036026.222
518096,1057368379.296
518097,1057368376.501
518098,1055016572.189
518099,1028682029.219
518100,1055833318.473
518101,1055842055.139
518102,1028702559.36
518103,1061073276.724
518104,1030413517.593
518105,1063425082.7
518106,1030404780.954
518107,1028052973.807
518108,1028503662.176
518109,1055045838.227
518110,1055224207.234
518111,1061869489.671
518112,1028260609.69
518113,1055016569.327
518114,1055684221.108
518115,1028260608.862
518116,1055194939.267
518117,1028260610.88
518118,1061869491.694
518119,1058477976.812
518120,1056275266.981
518121,1061073275.925
518122,1058457446.596
518123,1028494921.902
518124,1055654951.464
518125,1056284003.696
518126,1061052742.526
518127,1058448707.089
518128,1061222372.904
518129,1056105635.04
518130,1055224208.07
518131,1064063461.984
518132,1062302703.907
518133,1056105635.841
518134,1028231340.847
518135,1055684218.255
518136,1061691124.621
518137,1028260608.839
518138,1063395812.24
518139,1028240079.53
518140,1062331971.629
518141,1027592962.804
518142,1058036025.432
518143,1056126168.009
518144,1061073273.951
518145,1063404551.715
518146,1061251641.024
518147,1055842055.97
518148,1061073276.695
518149,1028503659.41
518150,1062153603.714
518151,1058477977.978
518152,1057377114.744
518153,1063404548.945
518154,1064063462.746
518155,1056126167.218
518156,1062153604.532
518157,1028702558.615
518158,1030413517.615
518159,1057368378.101
518160,1055025308.036
518161,1030404781.779
518162,1028524192.394
518163,1030875998.675
518164,1030413520.395
518165,1061222372.876
518166,1061044007.85
518167,1058477976.786
518168,1028503659.365
518169,1058036028.222
518170,1064034192.314
518171,1056105635.007
518172,1061711653.953
518173,1028240075.934
518174,1055025306.04
518175,1055203675.891
518176,1061044004.257
518177,1062302702.743
518178,1061682387.935
518179,1056096898.412
518180,1061860754.182
518181,1058448709.154
518182,1058477978.792
518183,1058448707.119
518184,1062133073.579
518185,1055203675.109
518186,1056096901.103
518187,1058036028.309
518188,1027601695.816
518189,1064476145.666
518190,1056126168.805
518191,1058036028.248
518192,1027601699.461
