iter	Passed	Remaining
0	28	14897
1	56	15129
2	77	13680
3	101	13377
4	114	12099
5	139	12273
6	158	11942
7	178	11730
8	194	11328
9	221	11607
10	248	11816
11	267	11592
12	276	11048
13	302	11217
14	333	11505
15	365	11810
16	388	11783
17	396	11330
18	419	11358
19	443	11385
20	469	11441
21	477	11087
22	492	10927
23	510	10825
24	533	10846
25	549	10715
26	570	10686
27	577	10424
28	596	10360
29	605	10145
30	625	10132
31	642	10051
32	663	10048
33	687	10091
34	710	10104
35	733	10123
36	756	10141
37	780	10167
38	802	10165
39	826	10184
40	843	10118
41	863	10099
42	886	10101
43	908	10099
44	930	10092
45	952	10080
46	962	9957
47	981	9919
48	1003	9910
49	1024	9896
50	1050	9926
51	1085	10037
52	1108	10035
53	1118	9919
54	1129	9820
55	1136	9679
56	1157	9664
57	1166	9552
58	1187	9544
59	1210	9542
60	1230	9521
61	1239	9416
62	1246	9301
63	1259	9229
64	1267	9127
65	1285	9093
66	1305	9080
67	1334	9122
68	1367	9196
69	1391	9205
70	1413	9198
71	1448	9276
72	1480	9330
73	1503	9327
74	1520	9286
75	1572	9457
76	1608	9523
77	1636	9546
78	1675	9626
79	1698	9618
80	1730	9657
81	1759	9674
82	1793	9723
83	1825	9756
84	1855	9780
85	1883	9792
86	1925	9870
87	1952	9874
88	1979	9875
89	1999	9839
90	2025	9838
91	2058	9866
92	2093	9903
93	2134	9970
94	2176	10035
95	2211	10066
96	2218	9972
97	2235	9921
98	2241	9827
99	2251	9750
100	2258	9658
101	2278	9626
102	2304	9619
103	2326	9598
104	2348	9574
105	2375	9568
106	2390	9515
107	2400	9445
108	2405	9357
109	2421	9311
110	2433	9253
111	2446	9195
112	2471	9187
113	2487	9142
114	2513	9134
115	2535	9113
116	2563	9114
117	2590	9109
118	2602	9055
119	2622	9024
120	2636	8976
121	2658	8956
122	2685	8951
123	2714	8951
124	2727	8903
125	2737	8842
126	2766	8843
127	2774	8778
128	2785	8722
129	2804	8694
130	2817	8647
131	2836	8617
132	2857	8595
